text,emotion
I'm tired and lonely.,sad
I'm tired and lonely.,sad
You always ruin everything.,angry
This makes me smile.,happy
Stop annoying me!,angry
I can't believe this happened!,angry
Stop annoying me!,angry
I love my job.,happy
I love my job.,happy
I'm excited about the future.,happy
That really pissed me off!,angry
I just want to cry.,sad
I'm excited about the future.,happy
Life feels empty.,sad
You make me so mad!,angry
You make me so mad!,angry
Life is beautiful.,happy
I hate when this happens!,angry
I'm feeling really down.,sad
Nothing makes me feel better.,sad
I'm tired and lonely.,sad
I'm excited about the future.,happy
I can't stop thinking about the past.,sad
I can't stop thinking about the past.,sad
I'm so angry right now!,angry
I just want to cry.,sad
I miss those days.,sad
Nothing makes me feel better.,sad
You make me so mad!,angry
I love my job.,happy
Everything feels perfect.,happy
Nothing makes me feel better.,sad
I can't stop thinking about the past.,sad
I'm feeling really down.,sad
Spending time with family is the best.,happy
I am so happy today!,happy
This is unacceptable!,angry
You always ruin everything.,angry
I just want to cry.,sad
Stop annoying me!,angry
Stop annoying me!,angry
You make me so mad!,angry
I just want to cry.,sad
I'm tired and lonely.,sad
Stop annoying me!,angry
That really pissed me off!,angry
This makes me smile.,happy
This makes me smile.,happy
I can't believe this happened!,angry
I'm excited about the future.,happy
This is unacceptable!,angry
Spending time with family is the best.,happy
I am so happy today!,happy
I can't believe this happened!,angry
This makes me smile.,happy
Spending time with family is the best.,happy
I'm so angry right now!,angry
This is unacceptable!,angry
Nothing makes me feel better.,sad
I am so happy today!,happy
I'm excited about the future.,happy
I feel broken inside.,sad
It's hard to get through today.,sad
I'm so angry right now!,angry
I am so happy today!,happy
Today is the worst.,sad
You make me so mad!,angry
I hate when this happens!,angry
It's hard to get through today.,sad
It's hard to get through today.,sad
Spending time with family is the best.,happy
That really pissed me off!,angry
I'm excited about the future.,happy
Why did you do that?,angry
I'm tired and lonely.,sad
Today is the worst.,sad
I can't believe this happened!,angry
Life feels empty.,sad
I can't stop thinking about the past.,sad
Nothing makes me feel better.,sad
Spending time with family is the best.,happy
I feel broken inside.,sad
I'm feeling really down.,sad
You always ruin everything.,angry
This is unacceptable!,angry
It's hard to get through today.,sad
Life is beautiful.,happy
I miss those days.,sad
Today is the worst.,sad
You make me so mad!,angry
I'm tired and lonely.,sad
Stop annoying me!,angry
You make me so mad!,angry
I can't believe this happened!,angry
I can't stop thinking about the past.,sad
I'm tired and lonely.,sad
You make me so mad!,angry
I'm so angry right now!,angry
I am so happy today!,happy
You always ruin everything.,angry
I just got a promotion!,happy
You make me so mad!,angry
I just got a promotion!,happy
I miss those days.,sad
I am so happy today!,happy
I hate when this happens!,angry
You always ruin everything.,angry
Today is a great day.,happy
I feel broken inside.,sad
This makes me smile.,happy
I'm excited about the future.,happy
I miss those days.,sad
Nothing makes me feel better.,sad
Why did you do that?,angry
I feel broken inside.,sad
I can't believe this happened!,angry
I hate when this happens!,angry
It's hard to get through today.,sad
That really pissed me off!,angry
This is unacceptable!,angry
This is unacceptable!,angry
I can't stop thinking about the past.,sad
Nothing makes me feel better.,sad
You always ruin everything.,angry
I can't believe this happened!,angry
I feel broken inside.,sad
Stop annoying me!,angry
I'm so angry right now!,angry
Spending time with family is the best.,happy
Stop annoying me!,angry
Everything feels perfect.,happy
I feel broken inside.,sad
You always ruin everything.,angry
You make me so mad!,angry
It's hard to get through today.,sad
I just want to cry.,sad
That's so frustrating.,angry
I just got a promotion!,happy
Stop annoying me!,angry
I miss those days.,sad
I hate when this happens!,angry
Why did you do that?,angry
I'm so angry right now!,angry
Today is the worst.,sad
I'm feeling really down.,sad
Life is beautiful.,happy
You make me so mad!,angry
Life feels empty.,sad
This makes me smile.,happy
Nothing makes me feel better.,sad
You make me so mad!,angry
Nothing makes me feel better.,sad
I'm so angry right now!,angry
Life feels empty.,sad
Nothing makes me feel better.,sad
Life feels empty.,sad
You always ruin everything.,angry
That's so frustrating.,angry
I just got a promotion!,happy
This is unacceptable!,angry
I'm tired and lonely.,sad
It's hard to get through today.,sad
That's so frustrating.,angry
I hate when this happens!,angry
I miss those days.,sad
I miss those days.,sad
That really pissed me off!,angry
That's so frustrating.,angry
Feeling awesome and blessed.,happy
Everything feels perfect.,happy
I hate when this happens!,angry
That's so frustrating.,angry
I feel broken inside.,sad
I love my job.,happy
I love my job.,happy
Why did you do that?,angry
Why did you do that?,angry
I can't believe this happened!,angry
I just want to cry.,sad
Stop annoying me!,angry
It's hard to get through today.,sad
You always ruin everything.,angry
Feeling awesome and blessed.,happy
Stop annoying me!,angry
I love my job.,happy
Today is the worst.,sad
I feel broken inside.,sad
Spending time with family is the best.,happy
Spending time with family is the best.,happy
I'm excited about the future.,happy
That's so frustrating.,angry
That's so frustrating.,angry
That's so frustrating.,angry
I'm so angry right now!,angry
I just want to cry.,sad
I can't believe this happened!,angry
I can't stop thinking about the past.,sad
Why did you do that?,angry
Life is beautiful.,happy
I'm feeling really down.,sad
Spending time with family is the best.,happy
You make me so mad!,angry
This is unacceptable!,angry
Feeling awesome and blessed.,happy
Stop annoying me!,angry
I'm excited about the future.,happy
This is unacceptable!,angry
I just got a promotion!,happy
I just want to cry.,sad
Spending time with family is the best.,happy
Nothing makes me feel better.,sad
This makes me smile.,happy
I just got a promotion!,happy
It's hard to get through today.,sad
Today is the worst.,sad
Why did you do that?,angry
Nothing makes me feel better.,sad
I'm excited about the future.,happy
Life is beautiful.,happy
Why did you do that?,angry
I can't believe this happened!,angry
I'm tired and lonely.,sad
Stop annoying me!,angry
That really pissed me off!,angry
I just got a promotion!,happy
Everything feels perfect.,happy
Everything feels perfect.,happy
I am so happy today!,happy
You make me so mad!,angry
Stop annoying me!,angry
Spending time with family is the best.,happy
Everything feels perfect.,happy
Spending time with family is the best.,happy
Life feels empty.,sad
Stop annoying me!,angry
That really pissed me off!,angry
Life is beautiful.,happy
Stop annoying me!,angry
I miss those days.,sad
I'm excited about the future.,happy
I hate when this happens!,angry
Feeling awesome and blessed.,happy
I'm tired and lonely.,sad
I can't believe this happened!,angry
It's hard to get through today.,sad
I'm tired and lonely.,sad
Today is the worst.,sad
I'm so angry right now!,angry
I just got a promotion!,happy
